202.63.19.0/24,SG,SG-01,Singapore,
202.63.6.0/24,SG,SG-01,Singapore,
202.63.11.0/24,SG,SG-01,Singapore,
62.93.136.0/24,NL,NL-NH,Amsterdam,
62.93.137.0/24,NL,NL-NH,Amsterdam,
62.93.141.0/24,NL,NL-NH,Amsterdam,
62.93.143.0/27,NL,NL-NH,Amsterdam,
62.93.143.32/28,GB,GB-LND,London,
62.93.143.48/28,DE,DE-HE,Frankfurt,
62.93.143.64/26,NL,NL-NH,Amsterdam,
62.93.143.128/25,NL,NL-NH,Amsterdam,
62.93.144.0/24,NL,NL-NH,Amsterdam,
62.93.147.0/24,NL,NL-NH,Amsterdam,
62.93.158.0/24,NL,NL-NH,Amsterdam,
149.12.77.0/24,NL,NL-NH,Amsterdam,
149.7.8.0/24,US,US-TX,Dallas,
216.49.201.0/24,US,US-TX,Dallas,
216.49.206.0/24,US,US-TX,Dallas,
216.168.162.0/24,US,US-TX,Dallas,
216.168.164.0/24,US,US-TX,Dallas,
216.168.169.0/24,US,US-TX,Dallas,
216.168.184.0/23,US,US-TX,Dallas,
216.168.188.0/23,US,US-TX,Dallas,
216.168.191.0/24,US,US-TX,Dallas,
